X matrix 
[[9.95000000e-01 5.00000000e-03 0.00000000e+00]
 [9.93927666e-01 5.80275833e-03 2.69576034e-04]
 [9.92684712e-01 6.73286879e-03 5.82419628e-04]
 [9.91244635e-01 7.80995235e-03 9.45413029e-04]
 [9.89577518e-01 9.05623825e-03 1.36624354e-03]
 [9.87648337e-01 1.04976192e-02 1.85404370e-03]
 [9.85416749e-01 1.21637718e-02 2.41947918e-03]
 [9.82837095e-01 1.40881560e-02 3.07474880e-03]
 [9.79858400e-01 1.63080157e-02 3.83358451e-03]
 [9.76425313e-01 1.88632348e-02 4.71145172e-03]
 [9.72474837e-01 2.17989055e-02 5.72625757e-03]
 [9.67929398e-01 2.51723195e-02 6.89828267e-03]
 [9.62704549e-01 2.90444170e-02 8.25103353e-03]
 [9.56709482e-01 3.34792126e-02 9.81130530e-03]
 [9.49847023e-01 3.85437957e-02 1.16091817e-02]
 [9.42013635e-01 4.43083300e-02 1.36780350e-02]
 [9.33099420e-01 5.08460542e-02 1.60545261e-02]
 [9.22988114e-01 5.82332813e-02 1.87786044e-02]
 [9.11583406e-01 6.65264446e-02 2.18901498e-02]
 [8.98778235e-01 7.57863419e-02 2.54354230e-02]
 [8.84398008e-01 8.61273044e-02 2.94746881e-02]
 [8.68303605e-01 9.76291777e-02 3.40672170e-02]
 [8.50394398e-01 1.10334733e-01 3.92708695e-02]
 [8.30608242e-01 1.24249665e-01 4.51420924e-02]
 [8.08921483e-01 1.39342596e-01 5.17359202e-02]
 [7.85348953e-01 1.55545072e-01 5.91059747e-02]
 [7.59943971e-01 1.72751564e-01 6.73044652e-02]
 [7.32798344e-01 1.90819467e-01 7.63821883e-02]
 [7.04024308e-01 2.09586306e-01 8.63893862e-02]
 [6.73685771e-01 2.28945107e-01 9.73691217e-02]
 [6.42119707e-01 2.48552929e-01 1.09327363e-01]
 [6.09700051e-01 2.68044600e-01 1.22255349e-01]
 [5.76778656e-01 2.87087421e-01 1.36133923e-01]
 [5.43685299e-01 3.05381167e-01 1.50933534e-01]
 [5.10727674e-01 3.22658090e-01 1.66614235e-01]
 [4.78191400e-01 3.38682914e-01 1.83125686e-01]
 [4.46340012e-01 3.53252838e-01 2.00407150e-01]
 [4.15414969e-01 3.66197535e-01 2.18387496e-01]
 [3.85635648e-01 3.77379153e-01 2.36985199e-01]
 [3.57199349e-01 3.86692314e-01 2.56108337e-01]
 [3.30281289e-01 3.94064115e-01 2.75654596e-01]
 [3.05034685e-01 3.99454069e-01 2.95511246e-01]
 [2.81621335e-01 4.02832076e-01 3.15546590e-01]
 [2.60011984e-01 4.04322571e-01 3.35665444e-01]
 [2.40076423e-01 4.04122099e-01 3.55801478e-01]
 [2.21692959e-01 4.02414968e-01 3.75892073e-01]
 [2.04748416e-01 3.99373257e-01 3.95878327e-01]
 [1.89138138e-01 3.95156809e-01 4.15705053e-01]
 [1.74765984e-01 3.89913237e-01 4.35320779e-01]
 [1.61544333e-01 3.83777920e-01 4.54677747e-01]
 [1.49394079e-01 3.76874005e-01 4.73731916e-01]
 [1.38244636e-01 3.69312407e-01 4.92442957e-01]
 [1.28033934e-01 3.61191806e-01 5.10774260e-01]
 [1.18708420e-01 3.52598652e-01 5.28692927e-01]
 [1.10223062e-01 3.43607162e-01 5.46169776e-01]
 [1.02541342e-01 3.34279319e-01 5.63179339e-01]
 [9.56352612e-02 3.24664874e-01 5.79699865e-01]
 [8.94853375e-02 3.14801346e-01 5.95713316e-01]
 [8.40652803e-02 3.04728804e-01 6.11205915e-01]
 [7.91813944e-02 2.94639724e-01 6.26178882e-01]
 [7.47373107e-02 2.84620232e-01 6.40642457e-01]
 [7.06863165e-02 2.74707097e-01 6.54606587e-01]
 [6.69857879e-02 2.64932930e-01 6.68081282e-01]
 [6.35971902e-02 2.55326186e-01 6.81076624e-01]
 [6.04860771e-02 2.45911166e-01 6.93602757e-01]
 [5.76220914e-02 2.36708016e-01 7.05669893e-01]
 [5.49789649e-02 2.27732723e-01 7.17288312e-01]
 [5.25345180e-02 2.18997122e-01 7.28468360e-01]
 [5.02706601e-02 2.10508891e-01 7.39220449e-01]
 [4.81733895e-02 2.02271552e-01 7.49555058e-01]
 [4.62327932e-02 1.94284472e-01 7.59482734e-01]
 [4.44430473e-02 1.86542863e-01 7.69014090e-01]
 [4.28024165e-02 1.79037780e-01 7.78159803e-01]
 [4.13126137e-02 1.71756679e-01 7.86930708e-01]
 [3.99432773e-02 1.64714368e-01 7.95342355e-01]
 [3.86704785e-02 1.57920356e-01 8.03409166e-01]
 [3.74875819e-02 1.51369413e-01 8.11143005e-01]
 [3.63882398e-02 1.45056241e-01 8.18555519e-01]
 [3.53663932e-02 1.38975475e-01 8.25658132e-01]
 [3.44162711e-02 1.33121680e-01 8.32462049e-01]
 [3.35323911e-02 1.27489352e-01 8.38978257e-01]
 [3.27095586e-02 1.22072919e-01 8.45217523e-01]
 [3.19428677e-02 1.16866741e-01 8.51190392e-01]
 [3.12277005e-02 1.11865109e-01 8.56907191e-01]
 [3.05597274e-02 1.07062245e-01 8.62378027e-01]
 [2.99349073e-02 1.02452304e-01 8.67612789e-01]
 [2.93494871e-02 9.80293707e-02 8.72621142e-01]
 [2.88000021e-02 9.37874621e-02 8.77412536e-01]
 [2.82832757e-02 8.97205267e-02 8.81996198e-01]
 [2.77964199e-02 8.58224441e-02 8.86381136e-01]
 [2.73368346e-02 8.20870256e-02 8.90576140e-01]
 [2.69022190e-02 7.85079662e-02 8.94589815e-01]
 [2.64912096e-02 7.50771771e-02 8.98431613e-01]
 [2.61029254e-02 7.17884974e-02 9.02108577e-01]
 [2.57363496e-02 6.86371266e-02 9.05626524e-01]
 [2.53904792e-02 6.56183382e-02 9.08991183e-01]
 [2.50643242e-02 6.27274799e-02 9.12208196e-01]
 [2.47569083e-02 5.99599737e-02 9.15283118e-01]
 [2.44672684e-02 5.73113156e-02 9.18221416e-01]
 [2.41944546e-02 5.47770759e-02 9.21028470e-01]
 [2.39375307e-02 5.23528990e-02 9.23709570e-01]
 [2.36955736e-02 5.00345036e-02 9.26269923e-01]
 [2.34676738e-02 4.78176825e-02 9.28714644e-01]
 [2.32529349e-02 4.56983026e-02 9.31048763e-01]
 [2.30504741e-02 4.36723051e-02 9.33277221e-01]
 [2.28594218e-02 4.17357053e-02 9.35404873e-01]
 [2.26789219e-02 3.98845928e-02 9.37436485e-01]
 [2.25081317e-02 3.81151313e-02 9.39376737e-01]
 [2.23462216e-02 3.64235586e-02 9.41230220e-01]
 [2.21923756e-02 3.48061868e-02 9.43001438e-01]
 [2.20457911e-02 3.32594020e-02 9.44694807e-01]
 [2.19056788e-02 3.17796648e-02 9.46314656e-01]
 [2.17712626e-02 3.03635097e-02 9.47865228e-01]
 [2.16423509e-02 2.90078516e-02 9.49349798e-01]
 [2.15196370e-02 2.77106493e-02 9.50769714e-01]
 [2.14029055e-02 2.64698383e-02 9.52127256e-01]
 [2.12919121e-02 2.52833748e-02 9.53424713e-01]
 [2.11864162e-02 2.41492469e-02 9.54664337e-01]
 [2.10861808e-02 2.30654745e-02 9.55848345e-01]
 [2.09909722e-02 2.20301091e-02 9.56978919e-01]
 [2.09005605e-02 2.10412342e-02 9.58058205e-01]
 [2.08147191e-02 2.00969651e-02 9.59088316e-01]
 [2.07332251e-02 1.91954488e-02 9.60071326e-01]
 [2.06558591e-02 1.83348641e-02 9.61009277e-01]
 [2.05824051e-02 1.75134217e-02 9.61904173e-01]
 [2.05126507e-02 1.67293639e-02 9.62757985e-01]
 [2.04463872e-02 1.59809650e-02 9.63572648e-01]
 [2.03834093e-02 1.52665309e-02 9.64350060e-01]
 [2.03235151e-02 1.45843995e-02 9.65092085e-01]
 [2.02665064e-02 1.39329403e-02 9.65800553e-01]
 [2.02121885e-02 1.33105548e-02 9.66477257e-01]
 [2.01603703e-02 1.27156761e-02 9.67123954e-01]
 [2.01108640e-02 1.21467692e-02 9.67742367e-01]
 [2.00634856e-02 1.16023308e-02 9.68334184e-01]
 [2.00180792e-02 1.10809793e-02 9.68900941e-01]
 [1.99747006e-02 1.05822037e-02 9.69443096e-01]
 [1.99333109e-02 1.01053186e-02 9.69961371e-01]
 [1.98938343e-02 9.64952687e-03 9.70456639e-01]
 [1.98561961e-02 9.21404360e-03 9.70929760e-01]
 [1.98203227e-02 8.79809593e-03 9.71381581e-01]
 [1.97861418e-02 8.40092313e-03 9.71812935e-01]
 [1.97535819e-02 8.02177660e-03 9.72224641e-01]
 [1.97225729e-02 7.65991984e-03 9.72617507e-01]
 [1.96930457e-02 7.31462847e-03 9.72992326e-01]
 [1.96649322e-02 6.98519023e-03 9.73349878e-01]
 [1.96381656e-02 6.67090498e-03 9.73690929e-01]
 [1.96126802e-02 6.37108469e-03 9.74016235e-01]
 [1.95884112e-02 6.08505343e-03 9.74326535e-01]
 [1.95652952e-02 5.81214742e-03 9.74622557e-01]
 [1.95432697e-02 5.55171498e-03 9.74905015e-01]
 [1.95222735e-02 5.30311653e-03 9.75174610e-01]
 [1.95022462e-02 5.06572462e-03 9.75432029e-01]
 [1.94831290e-02 4.83892393e-03 9.75677947e-01]
 [1.94648637e-02 4.62211123e-03 9.75913025e-01]
 [1.94473936e-02 4.41469542e-03 9.76137911e-01]
 [1.94306629e-02 4.21609752e-03 9.76353240e-01]
 [1.94146465e-02 4.02597026e-03 9.76559383e-01]
 [1.93993448e-02 3.84418904e-03 9.76756466e-01]
 [1.93847314e-02 3.67045264e-03 9.76944816e-01]
 [1.93707806e-02 3.50446365e-03 9.77124756e-01]
 [1.93574668e-02 3.34592918e-03 9.77296604e-01]
 [1.93447648e-02 3.19456086e-03 9.77460674e-01]
 [1.93326500e-02 3.05007486e-03 9.77617275e-01]
 [1.93210980e-02 2.91219188e-03 9.77766710e-01]
 [1.93100848e-02 2.78063713e-03 9.77909278e-01]
 [1.92995869e-02 2.65514036e-03 9.78045273e-01]
 [1.92895810e-02 2.53543585e-03 9.78174983e-01]
 [1.92800444e-02 2.42126238e-03 9.78298693e-01]
 [1.92709547e-02 2.31236328e-03 9.78416682e-01]
 [1.92622899e-02 2.20848642e-03 9.78529224e-01]
 [1.92540283e-02 2.10938417e-03 9.78636588e-01]
 [1.92461487e-02 2.01481343e-03 9.78739038e-01]
 [1.92386303e-02 1.92453564e-03 9.78836834e-01]
 [1.92314526e-02 1.83831676e-03 9.78930231e-01]
 [1.92245955e-02 1.75592728e-03 9.79019477e-01]
 [1.92180394e-02 1.67714222e-03 9.79104818e-01]
 [1.92117649e-02 1.60174110e-03 9.79186494e-01]
 [1.92057547e-02 1.52952240e-03 9.79264723e-01]
 [1.92000061e-02 1.46043372e-03 9.79339560e-01]
 [1.91945121e-02 1.39438788e-03 9.79411100e-01]
 [1.91892637e-02 1.33127517e-03 9.79479461e-01]
 [1.91842516e-02 1.27098745e-03 9.79544761e-01]
 [1.91794669e-02 1.21341804e-03 9.79607115e-01]
 [1.91749007e-02 1.15846184e-03 9.79666637e-01]
 [1.91705444e-02 1.10601523e-03 9.79723440e-01]
 [1.91663892e-02 1.05597613e-03 9.79777635e-01]
 [1.91624268e-02 1.00824397e-03 9.79829329e-01]
 [1.91586488e-02 9.62719726e-04 9.79878632e-01]
 [1.91550469e-02 9.19305866e-04 9.79925647e-01]
 [1.91516131e-02 8.77906394e-04 9.79970481e-01]
 [1.91483394e-02 8.38426831e-04 9.80013234e-01]
 [1.91452179e-02 8.00774223e-04 9.80054008e-01]
